article_id,queried_tickers,companies_discussed,headline,summary,source,url,published_at_utc,retrieved_at_utc,relevance_type,event_category,relevance_reason,excluded,exclusion_reason,duplicate_group_id,duplicate_group_size,duplicate_of_article_id,event_representative,exact_duplicate_group_id,raw_observation_count,finnhub_related,finnhub_category,image_url,normalized_url,matched_relevance_terms
136947293,AMD,AMD,"Zyphra Taps IBM, AMD To Build Next-Gen AI Superagent","International Business Machines (NYSE:IBM) and Advanced Micro Devices (NASDAQ:AMD) announced on Wednesday a strategic collaboration to provide Zyphra, a San Francisco-based open-source AI company, with advanced AI infrastructure. Under a multi-year agreement, IBM will host a large cluster of AMD Instinct MI300X GPUs on IBM Cloud to support Zyphra’s training of multimodal foundation models, marking one of the largest generative AI training deployments to date using an AMD stack. Zyphra, which rec",Yahoo,https://finnhub.io/api/news?id=feaecb0051798c8f501bb188811b2bc7e49689fdb0dd775261479aec379c3603,2025-10-01T13:10:51Z,2026-09-14T15:29:41Z,indirect,competing_accelerators_custom_chips,A competing accelerator or customer-designed chip can affect Nvidia's share of AI-compute spending.,false,,event_134d68cda8984410,1,,true,exact_5f663b5bccc7ee91,1,AMD,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=feaecb0051798c8f501bb188811b2bc7e49689fdb0dd775261479aec379c3603,instinct|amd|advanced micro devices|cloud
137645113,MU,MU|TSM,"Micron to invest $9.6 billion in Japan to build AI memory chip plant, Nikkei reports","Micron Technology will invest 1.5 trillion yen (​$9.6 billion) to build a new ‌plant in Hiroshima in western Japan to produce advanced high-bandwidth memory ‌(HBM) chips, the Nikkei reported on Saturday, citing people familiar with the matter.  The U.S. chipmaker aims to start construction at an existing site ⁠in May next year ‌and begin shipments around 2028, with Japan's Ministry of Economy, Trade and ‍Industry providing up to 500 billion yen for the project, the Nikkei said.  To revive ​its aging semiconductor industry, Japan's government is ‌offering generous subsidies to lure investment from foreign chip makers such as Micron and Taiwan Semiconductor Manufacturing Co (TSMC).",Yahoo,https://finnhub.io/api/news?id=be72b6e9c7ea553bff01c8a8b6fa33902b03ae2117273e25f7acd9d07ff1f8de,2025-11-29T07:52:14Z,2026-09-14T15:35:21Z,indirect,manufacturing_packaging_hbm,"Foundry, advanced-packaging, or HBM capacity can constrain Nvidia accelerator shipments.",false,,event_5851d2b99bd3cb90,1,,true,exact_f2b3f6f078879436,1,MU,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=be72b6e9c7ea553bff01c8a8b6fa33902b03ae2117273e25f7acd9d07ff1f8de,high bandwidth memory|hbm|tsmc|taiwan semiconductor|micron
137816653,AMZN,AMZN|GOOGL|MSFT,"Amazon shakes up AI team as veteran Prasad leaves, DeSantis promoted","Amazon is shaking up its artificial intelligence team with one long-time veteran heading for the exit and another ​taking over a more expansive group that includes AI models, custom silicon ‌and quantum computing.  The move comes just two weeks after the Amazon Web Services annual cloud computing conference ‌in Las Vegas, which the company has turned into a showcase for AI tools and services.  Amazon has been working to shake a reputation that it is trailing competitors like Google, Microsoft and OpenAI in developing AI models.",Yahoo,https://finnhub.io/api/news?id=2fad594a740be83cf0bcb5e7d72e98a091a1ff01aac3458d0b7f079d045600a5,2025-12-17T18:30:01Z,2026-09-14T15:38:43Z,indirect,competing_accelerators_custom_chips,A competing accelerator or customer-designed chip can affect Nvidia's share of AI-compute spending.,false,,event_6099755172416b0e,1,,true,exact_0071861ff656249e,1,AMZN,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=2fad594a740be83cf0bcb5e7d72e98a091a1ff01aac3458d0b7f079d045600a5,custom silicon|google|amazon|microsoft|cloud
138284953,AMZN|AVGO|GOOGL|META|MSFT,AMZN|AVGO|GOOGL|META|MSFT,"Broadcom Set To Dominate Custom AI Chip Market With 60% Share By 2027, Counterpoint Says","Counterpoint Research says the race to build custom AI silicon is accelerating, with hyperscalers scaling internal chips to meet surging demand. Hyperscalers Ramp Custom AI Chips Leading cloud and AI providers, including Alphabet Inc.’s (NASDAQ:GOOGL) Google; Amazon.com, Inc.’s (NASDAQ:AMZN) Amazon Web Services; Microsoft Corp (NASDAQ:MSFT); OpenAI; ByteDance and Apple Inc (NASDAQ:AAPL), are rapidly expanding deployments of AI server compute Application-Specific Integrated Circuit (ASIC) based s",Yahoo,https://finnhub.io/api/news?id=ff06f50f955d08c0a0a3c1d09a003d6ca08253da42e9d8f337e842746f819a41,2026-01-28T16:31:16Z,2026-09-14T15:36:12Z,indirect,competing_accelerators_custom_chips,A competing accelerator or customer-designed chip can affect Nvidia's share of AI-compute spending.,false,,event_039ab5992dabd379,1,,true,exact_10c7e904c5420caf,5,AMZN|AVGO|GOOGL|META|MSFT,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=ff06f50f955d08c0a0a3c1d09a003d6ca08253da42e9d8f337e842746f819a41,asic|broadcom|google|alphabet|amazon|microsoft|cloud
138371707,AMZN|GOOGL,AMZN|GOOGL|META|MSFT,Amazon shares tank on investor jitters over AI spending,"STORY: Amazon shares plunged in after-hours trade Thursday, falling around 11%.The tumble came after it projected a surge of more than 50% in capital expenditures this year.The e-commerce giant plans to pump $200 billion into its AI efforts in 2026, joining other tech giants in a spending spree to build out artificial-intelligence infrastructure.That has some investors worried about returns on the investment. Amazon Web Services' revenue grew to $35.6 billion in the December quarter.While that marked a rise of 24%, the pace of increase was slower than rivals like Google and the figure was overshadowed by the company's capital spending surge.Speaking to analysts, Chief Executive Andy Jassy said it was easier for smaller competitors to post stellar growth rates. But the numbers will concern investors, with AWS accounting for over 60% of the firm's operating profits. The results are the latest sign that Big Tech will not be halting AI investments any time soon. The top four so-called 'hyperscalers' - Amazon, Microsoft, Google and Meta - are expected to collectively spend more than $630 billion this year.One analyst told Reuters that ""Amazon has to invest at these levels just to stay in the race.""But this week's earnings suggest Wall Street has a message for tech titans: keep spending if you like, but we want to see signs that returns are coming.",Yahoo,https://finnhub.io/api/news?id=0ff8520a3331d74a40f8f1965e5e945bc73baa300f22e240768d2a3c9688d12a,2026-02-06T05:53:00Z,2026-09-14T15:39:10Z,indirect,ai_infrastructure_spending,Hyperscaler AI-infrastructure commitments can change demand for Nvidia GPUs and networking systems.,false,,event_bcbbb11979e98bcc,1,,true,exact_9c7b6cebb03a84ec,2,AMZN|GOOGL,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=0ff8520a3331d74a40f8f1965e5e945bc73baa300f22e240768d2a3c9688d12a,microsoft|amazon|aws|google|meta|artificial intelligence|capital spending|build
139407865,AMD|NVDA,AMD|NVDA,US Commerce Dept Reportedly Withdraws Planned Rule On AI Chip Exports,"The U.S. Commerce Department withdrew a proposed rule on AI chip exports, leaving a gap in policy as China ramps up semiconductor production.",Benzinga,https://finnhub.io/api/news?id=6f4712c8ec368e8e637c47f5c5cd7760d876ef24c48f47565529095ef6eeaa3b,2026-03-13T23:36:39Z,2026-09-14T15:30:09Z,indirect,regulatory_action,A regulatory action affecting advanced AI chips can alter Nvidia's sales channels or competitive conditions.,false,,event_ae42479340424fe7,1,,true,exact_80c307030e21749e,2,AMD|NVDA,company,https://cdn.benzinga.com/files/images/story/2026/03/13/Cpu-Computer-central-Processing-Unit-On-.jpeg?width=2048&height=1536,https://finnhub.io/api/news?id=6f4712c8ec368e8e637c47f5c5cd7760d876ef24c48f47565529095ef6eeaa3b,commerce department|ai chip
139489206,AMD|NVDA,AMD|NVDA,The Nasdaq Sinks As Super Micro AI Chip Smuggling to China Takes Center Stage | SMCI IXIC,"The Nasdaq composite fell about 1% by mid-morning on Friday, March 20, 2026, dragged lower after federal prosecutors charged Super Micro Computer (NASDAQ:SMCI) co-founder with conspiring to smuggle billions of dollars in AI chips to China. The Invesco QQQ Trust (NASDAQ:QQQ), which tracks the Nasdaq-100, slid about 1% in sympathy, extending a losing streak that ... The Nasdaq Sinks As Super Micro AI Chip Smuggling to China Takes Center Stage | SMCI IXIC",Yahoo,https://finnhub.io/api/news?id=4c8c2c649b0387678a88c31a53b1aa1ce58731262f2aa1fbed4c9624e3e9d584,2026-03-20T15:27:44Z,2026-09-14T15:30:10Z,indirect,export_controls_market_access,AI-chip trade restrictions or market-access changes can alter Nvidia's addressable markets and compliant product mix.,false,,event_68c803db50656ad4,1,,true,exact_f552131540329ca9,2,AMD|NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=4c8c2c649b0387678a88c31a53b1aa1ce58731262f2aa1fbed4c9624e3e9d584,chip smuggling|ai chip
139693261,GOOGL|MU,GOOGL|MU,Can a $25B Investment Surge Sustain Micron’s 20% AI Memory Grab?,"Behind every cutting-edge AI chip is a critical bottleneck: the memory required to feed it data. High-bandwidth memory (HBM) is now so highly sought after that the entire industry, including SK Hynix, Samsung, and Micron (MU), is completely sold out through 2026.",Yahoo,https://finnhub.io/api/news?id=c928dd15150855e3df502bda3242048729da55a82dbe051a7452bbaa01eeb246,2026-04-07T09:57:19Z,2026-09-14T15:35:48Z,indirect,manufacturing_packaging_hbm,"Foundry, advanced-packaging, or HBM capacity can constrain Nvidia accelerator shipments.",false,,event_cd199e4e64e59604,1,,true,exact_4be8c67ee2cad159,2,GOOGL|MU,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=c928dd15150855e3df502bda3242048729da55a82dbe051a7452bbaa01eeb246,high bandwidth memory|hbm|micron|sk hynix|samsung|ai chip
139717032,NVDA,NVDA,Vertical Data Announces $43M AI Infrastructure Partnership with AlphaTON Capital Corp.,"Vertical Data to Support GPU Cluster Deployment and Arrange Financing Through GPUfinancing.com for AlphaTON's AI Infrastructure Expansion LAS VEGAS, NV / ACCESS Newswire / April 9, 2026 / Vertical Data Inc. (OTCQB:VDTA) (""Vertical Data""), operator ...",Yahoo,https://finnhub.io/api/news?id=e2bbf0dafae3d05c68d3c3b94397d3f7368263b104df38b795ab7403650d1869,2026-04-09T13:25:00Z,2026-09-14T15:34:02Z,indirect,partnership_contract,"A material AI-compute partnership or contract can shift demand, supply, or competitive positioning relevant to Nvidia.",false,,event_7c89e2dbd7316868,1,,true,exact_45b9e643485661d5,1,NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=e2bbf0dafae3d05c68d3c3b94397d3f7368263b104df38b795ab7403650d1869,partnership|deployment|gpu
139726346,AMZN|GOOGL|MSFT,AMZN|GOOGL|MSFT,"While Amazon, Microsoft, Google Struggle With AI On Land — China Looks To The Sea","The AI race is running into an unexpected wall—and it's not chips or capital. It's water, power, and local resistance. As Amazon.com, Inc., Microsoft Corporation, and Alphabet Inc. push to expand data center capacity, investors are starting to question whether the physical footprint of AI is becoming the real constraint. AI Growth Meets Real-World Limits According to a Reuters report, multiple hyperscalers have already scrapped or delayed billion-dollar data center projects in the U.S. amid comm",Yahoo,https://finnhub.io/api/news?id=2f08aa2aed420d6c0cdf62608dc954a8e167c924da08d00843d9fe2b37f77c2c,2026-04-10T09:46:02Z,2026-09-14T15:37:52Z,indirect,product_delay_supply_constraint,A delay or supply constraint in the AI-compute chain can affect Nvidia's deliveries or competitive timing.,false,,event_97fbd605a35189e8,1,,true,exact_ebddabdc05814737,3,AMZN|GOOGL|MSFT,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=2f08aa2aed420d6c0cdf62608dc954a8e167c924da08d00843d9fe2b37f77c2c,delayed|data center
