group,event_date,price_move_1pct,saved_adjusted_close_return_1d,cutoff_utc
1pct_up,2025-10-08,1,0.021995326917785,2025-10-07T20:00:00+00:00
1pct_up,2025-10-09,1,0.0182962614037716,2025-10-08T20:00:00+00:00
1pct_up,2025-10-13,1,0.0281721285841158,2025-10-10T20:00:00+00:00
1pct_up,2025-10-16,1,0.0110103867673609,2025-10-15T20:00:00+00:00
1pct_up,2025-10-23,1,0.0104282909282249,2025-10-22T20:00:00+00:00
1pct_up,2025-10-24,1,0.0225076525010907,2025-10-23T20:00:00+00:00
1pct_up,2025-10-27,1,0.0280790240409409,2025-10-24T20:00:00+00:00
1pct_up,2025-10-28,1,0.0498199048619694,2025-10-27T20:00:00+00:00
1pct_up,2025-10-29,1,0.0298958839139344,2025-10-28T20:00:00+00:00
1pct_up,2025-11-03,1,0.0216800511954828,2025-10-31T20:00:00+00:00
1pct_up,2025-11-10,1,0.0579325780475237,2025-11-07T21:00:00+00:00
1pct_up,2025-11-14,1,0.0177137380370571,2025-11-13T21:00:00+00:00
1pct_up,2025-11-19,1,0.0284517400017085,2025-11-18T21:00:00+00:00
1pct_up,2025-11-24,1,0.0205164385205001,2025-11-21T21:00:00+00:00
1pct_up,2025-11-26,1,0.0137215975557727,2025-11-25T21:00:00+00:00
1pct_up,2025-12-01,1,0.0164971101302886,2025-11-28T18:00:00+00:00
1pct_up,2025-12-04,1,0.0211604499603115,2025-12-03T21:00:00+00:00
1pct_up,2025-12-08,1,0.0172140004375125,2025-12-05T21:00:00+00:00
1pct_up,2025-12-18,1,0.0187199633948551,2025-12-17T21:00:00+00:00
1pct_up,2025-12-19,1,0.0393362045130618,2025-12-18T21:00:00+00:00
1pct_up,2025-12-22,1,0.0149179417712339,2025-12-19T21:00:00+00:00
1pct_up,2025-12-23,1,0.0300506136282114,2025-12-22T21:00:00+00:00
1pct_up,2025-12-26,1,0.0101797875556444,2025-12-24T18:00:00+00:00
1pct_up,2026-01-02,1,0.0126006135839715,2025-12-31T21:00:00+00:00
1pct_up,2026-01-15,1,0.0213498256215445,2026-01-14T21:00:00+00:00
1pct_up,2026-01-21,1,0.0294828061269363,2026-01-20T21:00:00+00:00
1pct_up,2026-01-23,1,0.0153105475915804,2026-01-22T21:00:00+00:00
1pct_up,2026-01-27,1,0.010993712336375,2026-01-26T21:00:00+00:00
1pct_up,2026-01-28,1,0.0159134298512315,2026-01-27T21:00:00+00:00
1pct_up,2026-02-06,1,0.0787177041956905,2026-02-05T21:00:00+00:00
1pct_up,2026-02-09,1,0.0249715759647859,2026-02-06T21:00:00+00:00
1pct_up,2026-02-17,1,0.0118156066604726,2026-02-13T21:00:00+00:00
1pct_up,2026-02-18,1,0.0162728398314055,2026-02-17T21:00:00+00:00
1pct_up,2026-02-20,1,0.0102182530153922,2026-02-19T21:00:00+00:00
1pct_up,2026-02-25,1,0.0140522969379368,2026-02-24T21:00:00+00:00
1pct_up,2026-03-02,1,0.0298548624259453,2026-02-27T21:00:00+00:00
1pct_up,2026-03-04,1,0.0166063976092849,2026-03-03T21:00:00+00:00
1pct_up,2026-03-09,1,0.0271622178717809,2026-03-06T21:00:00+00:00
1pct_up,2026-03-10,1,0.011606900768585,2026-03-09T20:00:00+00:00
1pct_up,2026-03-16,1,0.0164770266228571,2026-03-13T20:00:00+00:00
1pct_up,2026-03-23,1,0.0170237019068644,2026-03-20T20:00:00+00:00
1pct_up,2026-03-25,1,0.0198629994687371,2026-03-24T20:00:00+00:00
1pct_up,2026-03-31,1,0.0558817469984662,2026-03-30T20:00:00+00:00
1pct_up,2026-04-08,1,0.0223470446512394,2026-04-07T20:00:00+00:00
1pct_up,2026-04-09,1,0.01005057963567,2026-04-08T20:00:00+00:00
1pct_up,2026-04-10,1,0.0256646852786306,2026-04-09T20:00:00+00:00
1pct_up,2026-04-14,1,0.0380328487066832,2026-04-13T20:00:00+00:00
1pct_up,2026-04-15,1,0.0120096265040634,2026-04-14T20:00:00+00:00
1pct_up,2026-04-17,1,0.0167884132992521,2026-04-16T20:00:00+00:00
1pct_up,2026-04-22,1,0.0131078071073005,2026-04-21T20:00:00+00:00
1pct_up,2026-04-24,1,0.0432278217884811,2026-04-23T20:00:00+00:00
1pct_up,2026-04-27,1,0.0400441913327564,2026-04-24T20:00:00+00:00
1pct_up,2026-05-06,1,0.0576590726277983,2026-05-05T20:00:00+00:00
1pct_up,2026-05-07,1,0.0176586921239787,2026-05-06T20:00:00+00:00
1pct_up,2026-05-08,1,0.0174940745176852,2026-05-07T20:00:00+00:00
1pct_up,2026-05-11,1,0.0197026064046921,2026-05-08T20:00:00+00:00
1pct_up,2026-05-13,1,0.0228734457044006,2026-05-12T20:00:00+00:00
1pct_up,2026-05-14,1,0.0438825908526629,2026-05-13T20:00:00+00:00
3pct_up,2025-10-28,1,0.0498199048619694,2025-10-27T20:00:00+00:00
3pct_up,2025-11-10,1,0.0579325780475237,2025-11-07T21:00:00+00:00
3pct_up,2025-12-19,1,0.0393362045130618,2025-12-18T21:00:00+00:00
3pct_up,2025-12-23,1,0.0300506136282114,2025-12-22T21:00:00+00:00
3pct_up,2026-02-06,1,0.0787177041956905,2026-02-05T21:00:00+00:00
3pct_up,2026-03-31,1,0.0558817469984662,2026-03-30T20:00:00+00:00
