trading_date,ticker,open,high,low,close,adjusted_close,volume,dividends,stock_splits
2025-07-03,NVDA,158.3699951171875,160.97999572753906,157.77000427246094,159.33999633789062,158.95018005371094,143716100,0.0,0.0
2025-07-07,NVDA,158.1999969482422,159.30999755859375,157.33999633789062,158.24000549316406,157.85289001464844,140139000,0.0,0.0
2025-07-08,NVDA,159.3300018310547,160.22000122070312,158.38999938964844,160.0,159.60858154296875,138133000,0.0,0.0
2025-07-09,NVDA,161.22000122070312,164.4199981689453,161.16000366210938,162.8800048828125,162.48155212402344,183656400,0.0,0.0
2025-07-10,NVDA,164.32000732421875,164.5,161.61000061035156,164.10000610351562,163.6985626220703,167704100,0.0,0.0
2025-07-11,NVDA,163.72000122070312,167.88999938964844,163.47000122070312,164.9199981689453,164.51654052734375,193633300,0.0,0.0
2025-07-14,NVDA,165.3699951171875,165.49000549316406,162.02000427246094,164.07000732421875,163.6686248779297,136975800,0.0,0.0
2025-07-15,NVDA,171.19000244140625,172.39999389648438,169.1999969482422,170.6999969482422,170.28240966796875,230627400,0.0,0.0
2025-07-16,NVDA,171.05999755859375,171.75,168.89999389648438,171.3699951171875,170.95077514648438,158831500,0.0,0.0
2025-07-17,NVDA,172.02000427246094,174.16000366210938,170.8300018310547,173.0,172.57679748535156,160841100,0.0,0.0
2025-07-18,NVDA,173.63999938964844,174.25,171.25999450683594,172.41000366210938,171.98825073242188,146456400,0.0,0.0
2025-07-21,NVDA,172.75,173.3800048828125,171.0,171.3800048828125,170.9607391357422,123126100,0.0,0.0
2025-07-22,NVDA,171.33999633789062,171.38999938964844,164.5800018310547,167.02999877929688,166.62136840820312,193114300,0.0,0.0
2025-07-23,NVDA,169.52999877929688,171.25999450683594,167.97000122070312,170.77999877929688,170.3622283935547,154082200,0.0,0.0
2025-07-24,NVDA,172.44000244140625,173.8300018310547,171.3000030517578,173.74000549316406,173.3149871826172,128984600,0.0,0.0
2025-07-25,NVDA,173.61000061035156,174.72000122070312,172.9600067138672,173.5,173.0755615234375,122316800,0.0,0.0
2025-07-28,NVDA,174.02000427246094,177.0,173.97000122070312,176.75,176.317626953125,140023500,0.0,0.0
2025-07-29,NVDA,177.9600067138672,179.3800048828125,175.02000427246094,175.50999450683594,175.08062744140625,154077500,0.0,0.0
2025-07-30,NVDA,176.50999450683594,179.88999938964844,176.0399932861328,179.27000427246094,178.83145141601562,174312200,0.0,0.0
2025-07-31,NVDA,182.89999389648438,183.3000030517578,175.92999267578125,177.8699951171875,177.4348602294922,221685400,0.0,0.0
2025-08-01,NVDA,174.08999633789062,176.5399932861328,170.88999938964844,173.72000122070312,173.29502868652344,204529000,0.0,0.0
2025-08-04,NVDA,175.16000366210938,180.1999969482422,174.52000427246094,180.0,179.55966186523438,148174600,0.0,0.0
2025-08-05,NVDA,179.6199951171875,180.25999450683594,175.89999389648438,178.25999450683594,177.8238983154297,156407600,0.0,0.0
2025-08-06,NVDA,176.3300018310547,179.89999389648438,176.25,179.4199981689453,178.98106384277344,137192300,0.0,0.0
2025-08-07,NVDA,181.57000732421875,183.8800048828125,178.8000030517578,180.77000427246094,180.32777404785156,151878400,0.0,0.0
2025-08-08,NVDA,181.5500030517578,183.3000030517578,180.39999389648438,182.6999969482422,182.2530517578125,123396700,0.0,0.0
2025-08-11,NVDA,182.0500030517578,183.83999633789062,180.25,182.05999755859375,181.6146240234375,138323200,0.0,0.0
2025-08-12,NVDA,182.9600067138672,184.47999572753906,179.4600067138672,183.16000366210938,182.71194458007812,145485700,0.0,0.0
2025-08-13,NVDA,182.6199951171875,183.97000122070312,179.35000610351562,181.58999633789062,181.14576721191406,179871700,0.0,0.0
2025-08-14,NVDA,179.75,183.02000427246094,179.4600067138672,182.02000427246094,181.57472229003906,129554000,0.0,0.0
2025-08-15,NVDA,181.8800048828125,181.89999389648438,178.0399932861328,180.4499969482422,180.008544921875,156602200,0.0,0.0
2025-08-18,NVDA,180.60000610351562,182.94000244140625,180.58999633789062,182.00999450683594,181.5647430419922,132008000,0.0,0.0
2025-08-19,NVDA,182.42999267578125,182.5,175.49000549316406,175.63999938964844,175.2103271484375,185229200,0.0,0.0
2025-08-20,NVDA,175.1699981689453,176.0,168.8000030517578,175.39999389648438,174.97091674804688,215142700,0.0,0.0
2025-08-21,NVDA,174.85000610351562,176.89999389648438,173.80999755859375,174.97999572753906,174.55194091796875,140040900,0.0,0.0
2025-08-22,NVDA,172.61000061035156,178.58999633789062,171.1999969482422,177.99000549316406,177.5545654296875,172789400,0.0,0.0
2025-08-25,NVDA,178.35000610351562,181.91000366210938,176.57000732421875,179.80999755859375,179.37013244628906,163012800,0.0,0.0
2025-08-26,NVDA,180.05999755859375,182.38999938964844,178.80999755859375,181.77000427246094,181.32533264160156,168688200,0.0,0.0
2025-08-27,NVDA,181.97999572753906,182.49000549316406,179.10000610351562,181.60000610351562,181.15574645996094,235518900,0.0,0.0
2025-08-28,NVDA,180.82000732421875,184.47000122070312,176.41000366210938,180.1699981689453,179.72923278808594,281787800,0.0,0.0
