trading_timestamp,ticker,open,high,low,close,adjusted_close,volume,dividends,stock_splits
2025-10-01T09:30:00-0400,NVDA,185.2100067138672,186.6699981689453,183.89999389648438,186.65499877929688,186.65499877929688,36094855,0.0,0.0
2025-10-01T10:30:00-0400,NVDA,186.65499877929688,187.86500549316406,186.314697265625,186.55999755859375,186.55999755859375,22794271,0.0,0.0
2025-10-01T11:30:00-0400,NVDA,186.55999755859375,187.52999877929688,186.4199981689453,186.60499572753906,186.60499572753906,10682992,0.0,0.0
2025-10-01T12:30:00-0400,NVDA,186.61500549316406,188.13999938964844,186.48500061035156,187.57000732421875,187.57000732421875,12818212,0.0,0.0
2025-10-01T13:30:00-0400,NVDA,187.5800018310547,187.9499969482422,187.3000030517578,187.48440551757812,187.48440551757812,44723479,0.0,0.0
2025-10-01T14:30:00-0400,NVDA,187.48500061035156,187.69000244140625,187.14999389648438,187.18350219726562,187.18350219726562,10013033,0.0,0.0
2025-10-01T15:30:00-0400,NVDA,187.17999267578125,187.4600067138672,186.36000061035156,187.1699981689453,187.1699981689453,15197176,0.0,0.0
2025-10-02T09:30:00-0400,NVDA,189.6199951171875,191.0500030517578,188.26499938964844,190.1049041748047,190.1049041748047,51136746,0.0,0.0
2025-10-02T10:30:00-0400,NVDA,190.10499572753906,190.4199981689453,188.89999389648438,189.85499572753906,189.85499572753906,20569176,0.0,0.0
2025-10-02T11:30:00-0400,NVDA,189.85499572753906,189.89169311523438,188.9499969482422,189.2100067138672,189.2100067138672,13336605,0.0,0.0
2025-10-02T12:30:00-0400,NVDA,189.18499755859375,189.47999572753906,188.77000427246094,189.11929321289062,189.11929321289062,10186660,0.0,0.0
2025-10-02T13:30:00-0400,NVDA,189.1199951171875,189.24000549316406,188.61000061035156,188.87510681152344,188.87510681152344,9326052,0.0,0.0
2025-10-02T14:30:00-0400,NVDA,188.8699951171875,189.30499267578125,188.71009826660156,189.18499755859375,189.18499755859375,10060451,0.0,0.0
2025-10-02T15:30:00-0400,NVDA,189.18499755859375,189.24000549316406,188.5,188.9199981689453,188.9199981689453,10344240,0.0,0.0
2025-10-03T09:30:00-0400,NVDA,189.18499755859375,190.36000061035156,188.3300018310547,188.94369506835938,188.94369506835938,31867298,0.0,0.0
2025-10-03T10:30:00-0400,NVDA,188.9499969482422,189.8000030517578,188.3699951171875,189.47390747070312,189.47390747070312,15378728,0.0,0.0
2025-10-03T11:30:00-0400,NVDA,189.47000122070312,189.54930114746094,188.4199981689453,188.7001953125,188.7001953125,12735312,0.0,0.0
2025-10-03T12:30:00-0400,NVDA,188.6999969482422,188.6999969482422,186.9499969482422,187.17750549316406,187.17750549316406,16666788,0.0,0.0
2025-10-03T13:30:00-0400,NVDA,187.16000366210938,187.52000427246094,185.3800048828125,187.47500610351562,187.47500610351562,20766990,0.0,0.0
2025-10-03T14:30:00-0400,NVDA,187.47999572753906,187.7449951171875,187.02999877929688,187.3249969482422,187.3249969482422,11927924,0.0,0.0
2025-10-03T15:30:00-0400,NVDA,187.32000732421875,188.0,186.22999572753906,187.62100219726562,187.62100219726562,11488859,0.0,0.0
2025-10-06T09:30:00-0400,NVDA,185.55999755859375,187.2299041748047,183.3300018310547,185.5,185.5,59311744,0.0,0.0
2025-10-06T10:30:00-0400,NVDA,185.5399932861328,186.19000244140625,184.2100067138672,185.9698944091797,185.9698944091797,22980670,0.0,0.0
2025-10-06T11:30:00-0400,NVDA,185.97999572753906,187.22999572753906,185.97999572753906,186.92999267578125,186.92999267578125,16569881,0.0,0.0
2025-10-06T12:30:00-0400,NVDA,186.93370056152344,186.9600067138672,186.00999450683594,186.14990234375,186.14990234375,9813634,0.0,0.0
2025-10-06T13:30:00-0400,NVDA,186.14999389648438,186.2100067138672,185.38999938964844,185.58999633789062,185.58999633789062,11195919,0.0,0.0
2025-10-06T14:30:00-0400,NVDA,185.59719848632812,186.0500030517578,185.49000549316406,185.80999755859375,185.80999755859375,9944365,0.0,0.0
2025-10-06T15:30:00-0400,NVDA,185.80999755859375,186.02810668945312,185.42999267578125,185.52999877929688,185.52999877929688,11119569,0.0,0.0
2025-10-07T09:30:00-0400,NVDA,186.25999450683594,189.05999755859375,186.1999969482422,188.01510620117188,188.01510620117188,36576448,0.0,0.0
2025-10-07T10:30:00-0400,NVDA,188.02000427246094,188.57000732421875,184.7801055908203,185.24000549316406,185.24000549316406,30950863,0.0,0.0
2025-10-07T11:30:00-0400,NVDA,185.24000549316406,186.1699981689453,184.40499877929688,185.47000122070312,185.47000122070312,22823701,0.0,0.0
2025-10-07T12:30:00-0400,NVDA,185.47000122070312,186.4149932861328,185.46499633789062,185.90980529785156,185.90980529785156,12411681,0.0,0.0
2025-10-07T13:30:00-0400,NVDA,185.86500549316406,186.0399932861328,185.14999389648438,185.89500427246094,185.89500427246094,8840682,0.0,0.0
2025-10-07T14:30:00-0400,NVDA,185.91000366210938,185.96499633789062,185.4250946044922,185.5863037109375,185.5863037109375,7925630,0.0,0.0
2025-10-07T15:30:00-0400,NVDA,185.58999633789062,185.67999267578125,184.50999450683594,184.9600067138672,184.9600067138672,9331222,0.0,0.0
2025-10-08T09:30:00-0400,NVDA,186.6300048828125,189.4199981689453,186.5399932861328,189.0449981689453,189.0449981689453,45810785,0.0,0.0
2025-10-08T10:30:00-0400,NVDA,189.0449981689453,189.2261962890625,187.7449951171875,188.27000427246094,188.27000427246094,16475937,0.0,0.0
2025-10-08T11:30:00-0400,NVDA,188.27000427246094,188.39500427246094,187.61380004882812,188.18499755859375,188.18499755859375,11866256,0.0,0.0
2025-10-08T12:30:00-0400,NVDA,188.17999267578125,188.48980712890625,187.76499938964844,188.14999389648438,188.14999389648438,9095911,0.0,0.0
2025-10-08T13:30:00-0400,NVDA,188.16000366210938,188.88999938964844,188.1199951171875,188.42239379882812,188.42239379882812,10444809,0.0,0.0
2025-10-08T14:30:00-0400,NVDA,188.42999267578125,188.75,187.98500061035156,188.58999633789062,188.58999633789062,9523320,0.0,0.0
2025-10-08T15:30:00-0400,NVDA,188.58999633789062,189.19000244140625,188.2949981689453,189.07000732421875,189.07000732421875,13031125,0.0,0.0
2025-10-09T09:30:00-0400,NVDA,192.27999877929688,195.3000030517578,191.05999755859375,193.68499755859375,193.68499755859375,69029669,0.0,0.0
2025-10-09T10:30:00-0400,NVDA,193.6842041015625,194.7198944091797,192.19000244140625,193.75999450683594,193.75999450683594,28515373,0.0,0.0
2025-10-09T11:30:00-0400,NVDA,193.76499938964844,194.5800018310547,193.36500549316406,193.88499450683594,193.88499450683594,17397407,0.0,0.0
2025-10-09T12:30:00-0400,NVDA,193.8800048828125,194.0500030517578,192.43910217285156,192.66009521484375,192.66009521484375,13991184,0.0,0.0
2025-10-09T13:30:00-0400,NVDA,192.67999267578125,193.1699981689453,192.17999267578125,192.5449981689453,192.5449981689453,12688036,0.0,0.0
2025-10-09T14:30:00-0400,NVDA,192.53500366210938,193.5395050048828,192.1300048828125,192.74000549316406,192.74000549316406,15942400,0.0,0.0
2025-10-09T15:30:00-0400,NVDA,192.72999572753906,193.00999450683594,191.89999389648438,192.5399932861328,192.5399932861328,12018618,0.0,0.0
2025-10-10T09:30:00-0400,NVDA,193.5050048828125,195.49000549316406,192.22000122070312,195.24830627441406,195.24830627441406,46230258,0.0,0.0
2025-10-10T10:30:00-0400,NVDA,195.2449951171875,195.6199951171875,188.33990478515625,188.83160400390625,188.83160400390625,51916107,0.0,0.0
2025-10-10T11:30:00-0400,NVDA,188.85000610351562,190.1999053955078,186.3800048828125,189.14999389648438,189.14999389648438,42140895,0.0,0.0
2025-10-10T12:30:00-0400,NVDA,189.13999938964844,189.66000366210938,186.64089965820312,188.16000366210938,188.16000366210938,22149826,0.0,0.0
2025-10-10T13:30:00-0400,NVDA,188.14999389648438,188.4600067138672,186.97999572753906,187.72000122070312,187.72000122070312,15772022,0.0,0.0
2025-10-10T14:30:00-0400,NVDA,187.72000122070312,187.9600067138672,186.11000061035156,186.39999389648438,186.39999389648438,17485987,0.0,0.0
2025-10-10T15:30:00-0400,NVDA,186.4199981689453,186.55999755859375,182.8000030517578,183.13999938964844,183.13999938964844,35832393,0.0,0.0
2025-10-13T09:30:00-0400,NVDA,187.96499633789062,190.10989379882812,187.38999938964844,188.49000549316406,188.49000549316406,53451703,0.0,0.0
2025-10-13T10:30:00-0400,NVDA,188.5,188.77499389648438,185.97000122070312,188.27499389648438,188.27499389648438,24205593,0.0,0.0
2025-10-13T11:30:00-0400,NVDA,188.27999877929688,188.64999389648438,187.69000244140625,188.43179321289062,188.43179321289062,13795160,0.0,0.0
2025-10-13T12:30:00-0400,NVDA,188.4208984375,189.42999267578125,188.2700958251953,188.5500030517578,188.5500030517578,11823453,0.0,0.0
2025-10-13T13:30:00-0400,NVDA,188.5500030517578,188.6558074951172,187.66000366210938,187.9250030517578,187.9250030517578,10396598,0.0,0.0
2025-10-13T14:30:00-0400,NVDA,187.9250030517578,188.17999267578125,187.25,187.80259704589844,187.80259704589844,10500602,0.0,0.0
2025-10-13T15:30:00-0400,NVDA,187.8000030517578,188.89999389648438,187.52000427246094,188.32000732421875,188.32000732421875,13567029,0.0,0.0
2025-10-14T09:30:00-0400,NVDA,184.77999877929688,184.8000030517578,179.6999969482422,182.38499450683594,182.38499450683594,61673542,0.0,0.0
2025-10-14T10:30:00-0400,NVDA,182.3800048828125,182.42999267578125,180.94500732421875,181.5500030517578,181.5500030517578,24869258,0.0,0.0
2025-10-14T11:30:00-0400,NVDA,181.55999755859375,183.53599548339844,181.35000610351562,183.43629455566406,183.43629455566406,21469144,0.0,0.0
2025-10-14T12:30:00-0400,NVDA,183.44000244140625,184.1999969482422,182.91000366210938,183.22500610351562,183.22500610351562,20202579,0.0,0.0
2025-10-14T13:30:00-0400,NVDA,183.22999572753906,183.30999755859375,181.52349853515625,182.17999267578125,182.17999267578125,17686398,0.0,0.0
2025-10-14T14:30:00-0400,NVDA,182.17999267578125,182.3699951171875,181.72000122070312,181.89990234375,181.89990234375,13423471,0.0,0.0
2025-10-14T15:30:00-0400,NVDA,181.89599609375,181.9199981689453,179.8300018310547,180.07000732421875,180.07000732421875,26666011,0.0,0.0
2025-10-15T09:30:00-0400,NVDA,184.83999633789062,184.8699951171875,181.02000427246094,182.36990356445312,182.36990356445312,52916810,0.0,0.0
2025-10-15T10:30:00-0400,NVDA,182.3697967529297,183.2100067138672,181.5,181.71090698242188,181.71090698242188,28256632,0.0,0.0
2025-10-15T11:30:00-0400,NVDA,181.7100067138672,181.73899841308594,179.86090087890625,180.69020080566406,180.69020080566406,29801481,0.0,0.0
2025-10-15T12:30:00-0400,NVDA,180.69000244140625,180.74000549316406,177.2899932861328,178.17999267578125,178.17999267578125,27094307,0.0,0.0
2025-10-15T13:30:00-0400,NVDA,178.17999267578125,180.0207061767578,178.0850067138672,179.79490661621094,179.79490661621094,18813172,0.0,0.0
2025-10-15T14:30:00-0400,NVDA,179.7949981689453,180.67999267578125,179.6999969482422,180.16000366210938,180.16000366210938,13746081,0.0,0.0
2025-10-15T15:30:00-0400,NVDA,180.1699981689453,180.3699951171875,178.60459899902344,179.8699951171875,179.8699951171875,19911874,0.0,0.0
2025-10-16T09:30:00-0400,NVDA,182.19000244140625,183.02000427246094,181.24000549316406,182.41000366210938,182.41000366210938,41938632,0.0,0.0
2025-10-16T10:30:00-0400,NVDA,182.4199981689453,183.27999877929688,181.97000122070312,182.32139587402344,182.32139587402344,22390005,0.0,0.0
2025-10-16T11:30:00-0400,NVDA,182.32249450683594,182.7899932861328,180.82000732421875,180.96499633789062,180.96499633789062,20255390,0.0,0.0
2025-10-16T12:30:00-0400,NVDA,180.97000122070312,182.35000610351562,179.77000427246094,182.3300018310547,182.3300018310547,23943118,0.0,0.0
2025-10-16T13:30:00-0400,NVDA,182.3249969482422,182.52000427246094,179.8800048828125,180.33999633789062,180.33999633789062,19387187,0.0,0.0
2025-10-16T14:30:00-0400,NVDA,180.34010314941406,181.61000061035156,179.82000732421875,180.78500366210938,180.78500366210938,18685762,0.0,0.0
