term,type,up_support_days,down_support_days,total_support_days,up_total_days,down_total_days,up_prevalence_pct,down_prevalence_pct,up_minus_down_pp
nvidia gpus,phrase,20,10,30,51,41,39.21568627450981,24.390243902439025,14.82544237207078
share price,phrase,20,10,30,51,41,39.21568627450981,24.390243902439025,14.82544237207078
shifting,word,20,10,30,51,41,39.21568627450981,24.390243902439025,14.82544237207078
businesses,word,15,6,21,51,41,29.41176470588235,14.634146341463415,14.77761836441894
case for,phrase,15,6,21,51,41,29.41176470588235,14.634146341463415,14.77761836441894
joining,word,15,6,21,51,41,29.41176470588235,14.634146341463415,14.77761836441894
view,word,15,6,21,51,41,29.41176470588235,14.634146341463415,14.77761836441894
back on,phrase,10,2,12,51,41,19.607843137254903,4.878048780487805,14.729794356767096
bottom,word,10,2,12,51,41,19.607843137254903,4.878048780487805,14.729794356767096
five year,phrase,10,2,12,51,41,19.607843137254903,4.878048780487805,14.729794356767096
hottest,word,10,2,12,51,41,19.607843137254903,4.878048780487805,14.729794356767096
invested in,phrase,10,2,12,51,41,19.607843137254903,4.878048780487805,14.729794356767096
is designed,phrase,10,2,12,51,41,19.607843137254903,4.878048780487805,14.729794356767096
lately,word,10,2,12,51,41,19.607843137254903,4.878048780487805,14.729794356767096
microsoft amazon,phrase,10,2,12,51,41,19.607843137254903,4.878048780487805,14.729794356767096
racks,word,10,2,12,51,41,19.607843137254903,4.878048780487805,14.729794356767096
weight,word,10,2,12,51,41,19.607843137254903,4.878048780487805,14.729794356767096
expected,word,36,23,59,51,41,70.58823529411765,56.09756097560975,14.49067431850789
inference,word,26,15,41,51,41,50.98039215686274,36.58536585365854,14.395026303204206
really,word,21,11,32,51,41,41.1764705882353,26.829268292682926,14.347202295552364
stocks that,phrase,21,11,32,51,41,41.1764705882353,26.829268292682926,14.347202295552364
ai powered,phrase,16,7,23,51,41,31.372549019607842,17.073170731707318,14.299378287900524
billion valuation,phrase,16,7,23,51,41,31.372549019607842,17.073170731707318,14.299378287900524
of dollars,phrase,16,7,23,51,41,31.372549019607842,17.073170731707318,14.299378287900524
as nvidia's,phrase,11,3,14,51,41,21.568627450980394,7.317073170731708,14.251554280248685
discovery,word,11,3,14,51,41,21.568627450980394,7.317073170731708,14.251554280248685
just made,phrase,11,3,14,51,41,21.568627450980394,7.317073170731708,14.251554280248685
majority,word,11,3,14,51,41,21.568627450980394,7.317073170731708,14.251554280248685
security and,phrase,11,3,14,51,41,21.568627450980394,7.317073170731708,14.251554280248685
gap,word,17,8,25,51,41,33.333333333333336,19.51219512195122,13.821138211382111
great,word,17,8,25,51,41,33.333333333333336,19.51219512195122,13.821138211382111
rapid,word,17,8,25,51,41,33.333333333333336,19.51219512195122,13.821138211382111
reason,word,17,8,25,51,41,33.333333333333336,19.51219512195122,13.821138211382111
corporation is,phrase,12,4,16,51,41,23.529411764705884,9.75609756097561,13.773314203730273
dominate,word,12,4,16,51,41,23.529411764705884,9.75609756097561,13.773314203730273
employees,word,12,4,16,51,41,23.529411764705884,9.75609756097561,13.773314203730273
of new,phrase,12,4,16,51,41,23.529411764705884,9.75609756097561,13.773314203730273
q2,word,12,4,16,51,41,23.529411764705884,9.75609756097561,13.773314203730273
rollout,word,12,4,16,51,41,23.529411764705884,9.75609756097561,13.773314203730273
to provide,phrase,12,4,16,51,41,23.529411764705884,9.75609756097561,13.773314203730273
year ai,phrase,12,4,16,51,41,23.529411764705884,9.75609756097561,13.773314203730273
humans,word,7,0,7,51,41,13.72549019607843,0.0,13.725490196078432
in japan,phrase,7,0,7,51,41,13.72549019607843,0.0,13.725490196078432
timing,word,7,0,7,51,41,13.72549019607843,0.0,13.725490196078432
key,word,48,33,81,51,41,94.11764705882354,80.48780487804878,13.629842180774743
magnificent,word,28,17,45,51,41,54.90196078431372,41.46341463414634,13.43854615016739
reach,word,23,13,36,51,41,45.09803921568628,31.70731707317073,13.390722142515543
rivals,word,23,13,36,51,41,45.09803921568628,31.70731707317073,13.390722142515543
stock was,phrase,23,13,36,51,41,45.09803921568628,31.70731707317073,13.390722142515543
developed,word,18,9,27,51,41,35.294117647058826,21.951219512195124,13.342898134863704
firm's,word,18,9,27,51,41,35.294117647058826,21.951219512195124,13.342898134863704
retail,word,18,9,27,51,41,35.294117647058826,21.951219512195124,13.342898134863704
we recently,phrase,18,9,27,51,41,35.294117647058826,21.951219512195124,13.342898134863704
little,word,13,5,18,51,41,25.49019607843137,12.195121951219512,13.295074127211858
miss,word,13,5,18,51,41,25.49019607843137,12.195121951219512,13.295074127211858
missed,word,13,5,18,51,41,25.49019607843137,12.195121951219512,13.295074127211858
position in,phrase,13,5,18,51,41,25.49019607843137,12.195121951219512,13.295074127211858
putting,word,13,5,18,51,41,25.49019607843137,12.195121951219512,13.295074127211858
amd to,phrase,8,1,9,51,41,15.686274509803921,2.4390243902439024,13.24725011956002
dollars in,phrase,8,1,9,51,41,15.686274509803921,2.4390243902439024,13.24725011956002
gene munster,phrase,8,1,9,51,41,15.686274509803921,2.4390243902439024,13.24725011956002
increases,word,8,1,9,51,41,15.686274509803921,2.4390243902439024,13.24725011956002
laboratory,word,8,1,9,51,41,15.686274509803921,2.4390243902439024,13.24725011956002
munster,word,8,1,9,51,41,15.686274509803921,2.4390243902439024,13.24725011956002
nvidia had,phrase,8,1,9,51,41,15.686274509803921,2.4390243902439024,13.24725011956002
proprietary,word,8,1,9,51,41,15.686274509803921,2.4390243902439024,13.24725011956002
reshapes,word,8,1,9,51,41,15.686274509803921,2.4390243902439024,13.24725011956002
rising demand,phrase,8,1,9,51,41,15.686274509803921,2.4390243902439024,13.24725011956002
world's first,phrase,8,1,9,51,41,15.686274509803921,2.4390243902439024,13.24725011956002
shares of,phrase,39,26,65,51,41,76.47058823529412,63.41463414634146,13.055954088952648
meta platforms,phrase,34,22,56,51,41,66.66666666666667,53.65853658536585,13.008130081300806
partnership with,phrase,34,22,56,51,41,66.66666666666667,53.65853658536585,13.008130081300806
starting,word,19,10,29,51,41,37.254901960784316,24.390243902439025,12.864658058345292
valuable,word,19,10,29,51,41,37.254901960784316,24.390243902439025,12.864658058345292
broadcom avgo,phrase,14,6,20,51,41,27.45098039215686,14.634146341463415,12.816834050693451
cloud and,phrase,14,6,20,51,41,27.45098039215686,14.634146341463415,12.816834050693451
roadmap,word,14,6,20,51,41,27.45098039215686,14.634146341463415,12.816834050693451
stakes,word,14,6,20,51,41,27.45098039215686,14.634146341463415,12.816834050693451
super micro,phrase,14,6,20,51,41,27.45098039215686,14.634146341463415,12.816834050693451
the chips,phrase,14,6,20,51,41,27.45098039215686,14.634146341463415,12.816834050693451
announcements,word,9,2,11,51,41,17.647058823529413,4.878048780487805,12.769010043041607
cpus and,phrase,9,2,11,51,41,17.647058823529413,4.878048780487805,12.769010043041607
essential,word,9,2,11,51,41,17.647058823529413,4.878048780487805,12.769010043041607
good news,phrase,9,2,11,51,41,17.647058823529413,4.878048780487805,12.769010043041607
leaving,word,9,2,11,51,41,17.647058823529413,4.878048780487805,12.769010043041607
remarkable,word,9,2,11,51,41,17.647058823529413,4.878048780487805,12.769010043041607
valuation in,phrase,9,2,11,51,41,17.647058823529413,4.878048780487805,12.769010043041607
portfolio,word,30,19,49,51,41,58.8235294117647,46.34146341463415,12.48206599713056
and palantir,phrase,20,11,31,51,41,39.21568627450981,26.829268292682926,12.386417981826876
jobs,word,20,11,31,51,41,39.21568627450981,26.829268292682926,12.386417981826876
movers,word,20,11,31,51,41,39.21568627450981,26.829268292682926,12.386417981826876
are not,phrase,15,7,22,51,41,29.41176470588235,17.073170731707318,12.338593974175035
shareholder,word,15,7,22,51,41,29.41176470588235,17.073170731707318,12.338593974175035
while nvidia,phrase,15,7,22,51,41,29.41176470588235,17.073170731707318,12.338593974175035
chip partnership,phrase,10,3,13,51,41,19.607843137254903,7.317073170731708,12.290769966523195
dives,word,10,3,13,51,41,19.607843137254903,7.317073170731708,12.290769966523195
is moving,phrase,10,3,13,51,41,19.607843137254903,7.317073170731708,12.290769966523195
